C31-C_1	C31-C_2	C31-C_3	C31-D_1	C31-D_2	C31-D_3	C31-E_1	C31-E_2	C31-E_3	C31-F_1	C31-F_2	C31-F_3	C31-L_1	C31-L_2	C31-L_3	C31-M_1	C31-M_2	C31-M_3	C31-P_1	C31-P_3	C31-P_2	C31-Q_1	C31-Q_2	C31-Q_3	C31-R_1	C31-R_2	C31-R_3	C31-S_1	C31-S_2	C31-S_3	C31-T_1	C31-T_2	C31-T_3	C31-U_1	C31-U_2	C31-U_3	C31-W_1	C31-W_2	C31-W_3	C31-X_1	C31-X_2	C31-X_3	C31-Y_1	C31-Y_2	C31-Y_3
59	56	66	37	31	43	41	0	35	51	42	50	37	77	107	131	148	164	0	149	141	93	98	100	94	104	108	64	65	75	90	84	76	85	81	79	64	74	74	41	33	40	0	0	0
257	187	203	0	117	133	141	79	134	260	149	125	130	412	463	678	547	623	716	743	476	458	389	486	361	319	433	265	201	313	345	288	362	330	250	338	222	208	207	190	110	110	66	85	74
980	790	830	636	619	613	707	418	675	973	782	589	441	1072	960	1728	1479	1409	1634	1691	986	1259	1206	1195	1028	933	981	810	758	827	1115	954	952	1107	987	1033	892	774	810	687	493	597	349	291	425
1587	1326	1245	1044	985	979	1210	707	1099	1521	1302	911	598	1324	1022	2187	1940	1623	2036	2018	1118	1635	1661	1485	1373	1291	1182	1152	1127	1089	1594	1402	1226	1643	1525	1372	1445	1281	1194	1103	847	921	706	691	832
1722	1533	1278	1163	1053	1054	1432	815	1162	1663	1419	869	556	1065	738	1884	1738	1275	1788	1724	878	1499	1588	1238	1262	1236	951	1110	1122	981	1534	1431	1066	1626	1588	1234	1580	1495	1234	1228	1009	969	981	1024	1051
1289	1196	865	930	798	763	1153	668	873	1245	1125	564	327	539	360	1094	1051	662	1030	993	490	916	1016	693	792	781	555	724	753	588	998	963	654	1120	1072	744	1270	1226	921	965	789	646	991	1013	971
582	562	315	449	370	298	599	341	370	651	596	207	121	151	106	438	449	209	396	368	177	352	394	224	347	357	215	287	300	190	380	363	194	457	434	235	659	654	393	454	395	220	705	711	613
88	118	84	78	92	71	106	83	93	114	120	62	30	37	32	92	114	64	91	92	45	50	118	59	91	113	59	55	84	53	79	92	55	77	107	51	130	150	113	75	82	55	245	197	124
