C36-1-A_1	C36-1-A_2	C36-1-A_3	C36-1-B_1	C36-1-B_2	C36-1-B_3	C36-1-C_1	C36-1-C_2	C36-1-C_3	C36-1-E_1	C36-1-E_2	C36-1-E_3	C36-1-F_1	C36-1-F_2	C36-1-F_3	C36-1-G1_1	C36-1-G1_2	C36-1-G1_3	C36-1-G2_1	C36-1-G2_2	C36-1-G2_3	C36-1-H_1	C36-1-H_2	C36-1-H_3	C36-1-I_1	C36-1-I_2	C36-1-I_3	C36-3-A_1	C36-3-A_2	C36-3-A_3	C36-3-B_1	C36-3-B_2	C36-3-B_3
1043	946	1523	1511	1651	1544	996	678	308	517	1115	1027	360	547	1053	1508	958	1098	1434	1058	698	610	759	763	1857	1677	1219	1334	1666	2063	1219	1304	1105
2282	2431	3144	3359	4008	3415	1967	1361	963	908	2004	2147	639	1131	1996	3057	2060	2426	2545	1961	1862	1717	1774	1491	3346	3725	2371	3297	3777	4158	3195	3401	2789
2550	2572	3588	3715	4383	3584	1837	1251	1166	1128	1722	2152	609	872	2369	3093	2216	2897	2159	1730	2306	1845	2181	1333	3637	3742	2699	3535	4071	4748	4022	3987	3348
1047	1295	1139	1359	1538	1277	666	503	474	264	665	737	147	343	575	894	749	943	858	582	701	919	940	508	992	1575	994	1416	1678	1423	2411	2361	1889
771	1233	745	1080	1097	900	530	396	296	81	538	464	61	315	151	432	424	562	643	290	409	899	951	475	613	990	733	997	1332	724	1321	1357	991
897	1415	813	1300	1358	909	692	472	270	107	655	502	69	457	177	583	506	643	724	348	422	1027	1110	673	724	1228	789	1189	1696	791	1127	1340	810
637	861	592	1072	1107	741	617	331	177	118	546	435	0	328	140	462	456	442	538	301	300	839	1002	638	678	977	671	965	1322	593	893	1171	725
313	504	324	563	674	427	350	165	91	135	258	203	0	165	0	291	326	273	397	443	171	662	513	414	350	481	302	466	707	282	409	544	385
