C12-A_1	C12-A_2	C12-A_3	C12-AA_1	C12-AA_2	C12-AA_3	C12-AB_1	C12-AB_2	C12-AB_3	C12-AD_1	C12-AD_2	C12-AD_3	C12-AE-T_1	C12-AE-T_2	C12-AE-T_3	C12-E_1	C12-E_2	C12-E_3	C12-H-T1_1	C12-H-T1_2	C12-H-T1_3	C12-H-T2_1	C12-H-T2_2	C12-H-T2_3	C12-I_1	C12-I_2	C12-I_3	C12-J_1	C12-J_2	C12-J_3	C12-K_1	C12-K_2	C12-K_3	C12-L_1	C12-L_2	C12-L_3	C12-P-T1_1	C12-P-T1_2	C12-P-T1_3	C12-V_1	C12-V_2	C12-V_3	C12-W-L1_1	C12-W-L1_2	C12-W-L1_3	C12-C-L1_1	C12-C-L1_2	C12-C-L1_3	C12-Y-C1_1	C12-Y-C1_2	C12-Y-C1_3
0	0	0	164	96	104	839	268	442	330	188	222	254	227	178	446	458	382	332	254	321	291	217	235	196	119	139	993	701	770	398	186	218	1133	468	801	389	386	387	301	233	264	122	116	139	420	226	286	0	0	0
0	0	0	991	491	682	2171	778	1323	1707	1011	1366	1211	1686	1811	1954	2037	2149	1298	1095	1388	1334	852	1065	965	605	714	2586	1886	2081	1474	731	936	3022	1417	2292	1745	1631	1821	1455	1048	1181	557	472	702	902	645	1005	0	0	0
0	0	0	2050	942	1259	344	112	249	3701	2262	3028	2496	3546	4225	3356	3198	3697	2652	2278	2915	2762	1791	2236	2175	1504	1645	422	280	292	2517	1355	1890	885	440	779	3527	3035	3650	3301	2138	2656	1299	1013	1548	333	186	356	62	0	0
0	0	0	1238	458	580	581	232	400	2101	1354	1586	1365	1865	2339	2173	1992	2270	1692	1484	2041	1162	771	920	3192	2010	2325	877	708	667	1111	582	737	1197	543	983	2244	1847	2205	1888	1432	1744	808	648	868	535	235	475	0	0	0
92	0	0	1406	408	696	1215	441	754	718	385	536	994	1533	1645	1129	905	1155	321	198	305	103	53	63	585	314	411	1414	1109	1211	123	56	71	892	358	593	403	333	401	309	186	258	108	88	111	0	0	50	0	0	0
811	499	494	268	91	128	387	118	231	182	89	156	176	204	260	206	158	272	246	157	195	132	111	130	211	109	124	236	170	172	188	105	105	209	85	115	314	250	311	118	53	125	52	0	0	0	0	0	145	96	166
2997	1941	2363	419	143	277	725	237	428	447	257	388	219	167	364	605	527	636	735	593	717	452	357	388	757	463	517	283	312	314	528	292	299	483	218	342	1081	959	1067	360	276	472	158	101	171	122	69	138	559	353	717
6098	3978	4879	899	364	640	1566	480	1017	1005	628	801	448	378	616	1324	1177	1438	1706	1241	1676	1059	613	786	1655	1088	1167	652	661	756	1140	539	627	1096	492	888	2405	2034	2470	825	612	994	298	180	376	241	166	304	1101	620	1543
4404	2726	3619	725	272	508	1049	344	693	673	376	570	199	311	238	924	783	932	1229	863	1174	744	444	504	1107	855	900	437	446	476	844	404	426	761	320	593	1654	1379	1869	638	493	644	212	92	273	163	128	193	654	417	1097
