C12-A_1	C12-A_2	C12-A_3	C12-AA_1	C12-AA_2	C12-AA_3	C12-AB_1	C12-AB_2	C12-AB_3	C12-AD_1	C12-AD_2	C12-AD_3	C12-AE-T_1	C12-AE-T_2	C12-AE-T_3	C12-E_1	C12-E_2	C12-E_3	C12-H-T1_1	C12-H-T1_2	C12-H-T1_3	C12-H-T2_1	C12-H-T2_2	C12-H-T2_3	C12-I_1	C12-I_2	C12-I_3	C12-J_1	C12-J_2	C12-J_3	C12-K_1	C12-K_2	C12-K_3	C12-L_1	C12-L_2	C12-L_3	C12-P-T1_1	C12-P-T1_2	C12-P-T1_3	C12-V_1	C12-V_2	C12-V_3	C12-W-L1_1	C12-W-L1_2	C12-W-L1_3	C12-C-L1_1	C12-C-L1_2	C12-C-L1_3	C12-Y-C1_1	C12-Y-C1_2	C12-Y-C1_3
55	402	360	3614	3215	3294	2557	1362	1972	4506	4121	4645	2922	3860	3261	10138	12326	11158	10270	12052	12234	15732	13606	13201	4104	3202	3321	3274	3312	3756	15102	13015	13598	3679	3017	3095	4341	4473	4433	13422	11453	12494	9721	10646	11924	7087	5927	7577	0	76	122
65	0	322	11449	11193	10669	11045	6658	8135	15614	13935	15525	13759	16655	14703	12874	14712	14472	3553	4474	4776	11626	10420	10464	15533	12874	12441	13202	13604	14871	7590	5061	5736	15839	13115	13192	17027	17617	17469	2101	1661	1865	1304	1684	1744	989	629	1219	54	111	151
120	173	243	8040	7426	7316	6296	3837	4300	9545	8637	9856	10210	13674	13862	8639	9190	9786	6037	7961	7193	1499	1199	0	7403	6770	6559	8734	9891	9872	8280	5995	7030	8006	7164	8002	6034	6050	7083	4361	3551	3674	2440	3645	3668	2615	1867	3028	0	90	138
257	165	187	1207	1028	1002	966	546	636	1683	1392	1730	1751	1998	2090	1281	1241	1497	857	1283	1201	220	131	123	1162	1075	1207	1172	1397	1556	1368	912	1378	3929	3823	4074	1116	1085	1551	5418	4528	4405	3147	4188	4298	3227	2661	4191	70	86	189
441	370	297	194	131	126	220	181	148	190	97	0	117	83	0	92	84	51	234	200	201	194	156	192	196	151	162	0	154	0	127	65	86	690	544	623	344	149	214	435	312	335	235	171	232	116	217	125	281	237	260
1151	980	643	403	267	320	495	345	312	400	285	381	187	348	177	315	443	441	634	570	422	444	359	276	478	393	438	268	362	257	440	372	387	505	321	386	613	515	535	452	500	520	353	368	426	308	296	234	820	731	808
3666	3561	2761	1289	891	1023	1433	1139	938	1151	851	1115	411	827	363	1211	1462	1426	1758	1905	1838	1403	1343	1198	1462	1317	1405	997	974	800	1257	960	1145	1394	925	1124	1690	1736	1903	1263	1125	1379	1035	849	1074	459	659	646	2935	2673	2936
7018	6006	5711	2206	1488	1913	2721	1870	1847	1863	1501	1964	793	1251	734	2276	2618	2846	3004	3327	3369	2608	2341	2344	2498	2276	2600	1800	1811	1717	2210	1688	2023	2525	1689	2231	3161	3152	3321	2306	2075	2428	1784	1518	1882	944	1143	1130	5089	4784	5728
8197	7265	7389	2585	1794	2382	3449	2205	2353	2093	1869	2348	934	1370	974	2870	3294	3642	3726	4001	4224	3229	2765	2899	2897	2679	3252	2209	2230	2209	2656	2068	2473	3158	2153	2758	3937	3770	4057	3009	2436	2881	2172	1863	2376	1405	1285	1390	6111	5948	7062
7127	6545	6745	2205	1614	2256	3285	1876	2203	1780	1717	2081	905	1168	979	2730	3021	3546	3294	3399	3962	2881	2519	2651	2637	2356	2938	1928	2061	2022	2449	1855	2134	2913	1891	2449	3650	3471	3679	2730	2224	2687	2003	1660	2172	1414	1067	1220	5319	5205	6488
4499	3908	4336	1429	969	1315	2144	992	1251	1004	965	1277	614	748	774	1689	1823	2100	2057	1879	2348	1777	1515	1664	1551	1371	1753	1086	1209	1181	1511	1220	1360	1706	869	1123	2210	2025	2153	1733	1232	1545	1469	998	1335	942	358	629	3267	3209	4068
0	0	0	0	0	0	0	279	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
