C12-A_1	C12-A_2	C12-A_3	C12-AA_1	C12-AA_2	C12-AA_3	C12-AB_1	C12-AB_2	C12-AB_3	C12-AD_1	C12-AD_2	C12-AD_3	C12-AE-T_1	C12-AE-T_2	C12-AE-T_3	C12-E_1	C12-E_2	C12-E_3	C12-H-T1_1	C12-H-T1_2	C12-H-T1_3	C12-H-T2_1	C12-H-T2_2	C12-H-T2_3	C12-I_1	C12-I_2	C12-I_3	C12-J_1	C12-J_2	C12-J_3	C12-K_1	C12-K_2	C12-K_3	C12-L_1	C12-L_2	C12-L_3	C12-P-T1_1	C12-P-T1_2	C12-P-T1_3	C12-V_1	C12-V_2	C12-V_3	C12-W-L1_1	C12-W-L1_2	C12-W-L1_3	C12-C-L1_1	C12-C-L1_2	C12-C-L1_3	C12-Y-C1_1	C12-Y-C1_2	C12-Y-C1_3
57	259	0	2615	1279	548	1823	944	431	1987	979	527	379	1456	170	953	1637	454	874	1168	260	1838	1320	728	367	162	93	1059	933	420	837	262	130	1201	736	349	565	601	246	755	1021	455	244	436	142	344	449	101	52	53	0
74	122	0	14934	8865	3348	5886	3508	1477	11800	5825	3107	1686	6331	1167	6438	8155	4206	4283	5270	1719	6678	5507	2733	2088	2078	457	6429	5998	2783	4422	2042	1208	5526	3781	1920	3837	4402	2036	4102	4571	2697	975	2288	540	1765	2023	603	63	0	0
91	108	0	4375	3633	1165	16574	10762	4286	4464	2313	1279	5068	12641	3427	11036	12862	6826	12810	14855	5272	16120	13264	6740	6377	5547	2296	7257	6618	3320	12024	6116	3758	15965	10541	5605	12927	12758	7105	12456	11612	7836	3266	5468	1752	4841	5877	1910	0	0	0
230	166	82	1508	1195	463	2226	1343	468	6269	3346	1943	4599	7459	3627	6796	7124	4548	2688	3052	1003	1750	1496	802	4269	2660	1287	6201	6066	3013	4667	2702	1942	9760	7084	3663	7562	7018	4067	7666	6695	5109	2412	2447	1002	2376	3432	1232	104	83	0
397	308	151	1049	752	232	727	364	177	895	482	282	673	1086	628	2391	2585	1546	464	658	156	386	422	123	3605	2532	1275	863	833	380	908	456	358	1636	1337	573	2144	1937	1094	1547	1274	891	364	444	104	358	576	194	190	178	72
2683	2154	915	1311	688	175	1268	711	396	634	365	167	123	100	143	596	585	442	666	1015	257	716	637	332	1572	1064	567	477	351	184	944	669	244	801	598	272	1680	1518	817	1422	619	563	228	520	66	211	281	55	901	1034	235
7634	5780	2756	2233	1373	358	3606	2089	1169	1573	1080	404	272	510	301	1841	1702	1392	2338	3391	944	2300	1884	1077	2670	1910	831	1339	1212	671	2232	1893	826	2254	1475	905	3963	3661	2137	3037	1512	1451	718	1206	194	651	764	176	2514	2801	620
12908	10014	5029	3647	2351	615	6103	3470	2137	3030	2111	785	471	986	558	3468	3507	2765	4334	6210	1875	4625	3650	2079	4893	3555	1579	2589	2320	1289	4278	3421	1660	4592	2992	1787	7083	6582	4070	4978	3074	2726	1210	2143	375	1160	1472	413	4284	4898	1018
12660	9813	5113	3352	2210	660	6317	3846	2102	3083	2199	829	425	1416	512	3641	3793	2925	4619	6385	1933	4827	3865	2268	4707	3765	1672	2443	2438	1279	4171	3230	1849	4710	2905	1908	7461	6647	4147	4713	3018	2588	1100	2117	388	1030	1586	438	4650	5081	1133
