C12-A_1	C12-A_2	C12-A_3	C12-AA_1	C12-AA_2	C12-AA_3	C12-AB_1	C12-AB_2	C12-AB_3	C12-AD_1	C12-AD_2	C12-AD_3	C12-AE-T_1	C12-AE-T_2	C12-AE-T_3	C12-E_1	C12-E_2	C12-E_3	C12-H-T1_1	C12-H-T1_2	C12-H-T1_3	C12-H-T2_1	C12-H-T2_2	C12-H-T2_3	C12-I_1	C12-I_2	C12-I_3	C12-J_1	C12-J_2	C12-J_3	C12-K_1	C12-K_2	C12-K_3	C12-L_1	C12-L_2	C12-L_3	C12-P-T1_1	C12-P-T1_2	C12-P-T1_3	C12-V_1	C12-V_2	C12-V_3	C12-W-L1_1	C12-W-L1_2	C12-W-L1_3	C12-C-L1_1	C12-C-L1_2	C12-Y-C1_1	C12-Y-C1_2	C12-Y-C1_3
0	0	94	6900	9173	3800	9373	10514	9986	11066	8204	5254	7974	14030	8075	18209	19975	12265	5946	6454	3651	6087	4300	1927	2107	1671	1594	9126	8459	3186	4743	3904	1523	6977	8541	4452	9534	7242	27689	12411	10689	10891	3425	4302	1281	1759	2967	81	69	0
0	0	130	2448	2738	1213	6845	7281	6790	8087	5737	3816	1993	3509	1920	10667	12019	7317	2365	2274	1521	2116	1524	773	5942	5415	3946	2202	1966	848	2288	1853	766	2790	3743	1944	3462	2602	10340	3764	3483	3359	1795	1870	643	393	602	0	0	0
304	478	299	4025	4417	2021	745	820	658	956	685	518	3696	6239	3451	7505	8369	5332	3904	4017	2651	3991	2725	1441	3413	2808	2424	4610	4236	1815	2206	1768	804	3619	4717	2612	4725	3900	12752	6326	6763	5909	2520	2720	1007	751	1304	73	123	0
1270	1951	1229	1333	1534	689	451	539	473	140	172	109	1929	3720	1824	1372	1518	941	680	718	478	736	451	229	3420	3150	2412	2103	2038	865	310	332	124	587	700	408	900	874	2454	2367	2464	2098	439	420	157	591	1220	315	310	214
5831	7410	4800	650	667	353	1368	1505	1445	656	569	355	384	650	336	1301	1325	945	1010	1040	514	756	446	201	1382	1309	789	709	617	230	496	500	215	592	728	450	1171	997	2469	1075	986	819	304	397	145	119	326	1591	1578	977
12389	14786	10674	1356	1326	751	2901	2779	3052	1447	1121	723	567	979	495	2769	2754	2007	2428	2407	1174	1746	1062	377	2069	1844	996	1318	1306	378	1077	879	339	1394	1652	869	2698	1964	5450	2163	1890	1696	563	738	204	262	457	3359	3312	1919
12513	13171	10682	1226	1121	683	2996	2482	3085	1539	1182	674	457	825	496	2901	2376	2142	2554	2401	1006	1810	1104	279	1957	1621	672	1298	1131	290	1086	788	247	1490	1685	804	2774	2012	6083	2201	1888	1629	522	691	191	263	352	3569	3133	1821
7713	7841	6973	619	602	445	1911	1498	1823	949	692	412	185	488	322	1678	1215	1257	1572	1482	509	1135	642	166	960	888	274	798	594	134	625	417	116	832	952	398	1623	1189	3298	1180	1050	879	288	428	94	166	178	2312	1861	1145
4133	4054	3418	292	380	265	978	721	914	421	309	177	96	256	190	934	760	635	809	723	252	481	359	110	569	493	182	432	410	121	328	253	0	374	536	221	771	671	1440	664	607	530	155	211	0	82	108	1237	1009	573
