C12-A_3	C12-AA_1	C12-AA_2	C12-AA_3	C12-AB_1	C12-AB_2	C12-AB_3	C12-AD_3	C12-AE-T_1	C12-AE-T_2	C12-AE-T_3	C12-E_3	C12-H-T1_1	C12-H-T1_3	C12-H-T2_1	C12-H-T2_2	C12-H-T2_3	C12-I_1	C12-I_2	C12-I_3	C12-J_3	C12-K_3	C12-L_3	C12-P-T1_3	C12-V_3	C12-W-L1_1	C12-W-L1_2	C12-W-L1_3	C12-C-L1_1	C12-C-L1_2	C12-C-L1_3	C12-Y-C1_1	C12-Y-C1_2	C12-Y-C1_3
0	2984	912	1090	2126	896	1752	5825	1346	3585	777	2985	26596	14873	2069	2487	585	1185	1459	1686	6091	9601	8366	2097	2880	2106	2444	818	4135	2316	919	224	173	0
236	26552	12853	9894	20517	8780	16883	30149	14013	25977	6937	23005	22776	13056	25276	27134	4940	16946	21303	12822	30041	24991	30780	19705	21920	17191	22172	7876	22784	16455	6271	311	282	98
1468	13055	4929	5458	12864	7183	12684	3678	2984	5750	1489	3221	2967	1504	15582	18403	3180	12671	15475	9576	3845	2982	3990	7103	15060	11931	16104	5820	2376	1687	643	2115	3012	690
7606	15763	6990	6451	5781	2981	5440	2345	5750	10830	2832	4574	5611	3275	13048	15242	2642	4900	5228	3609	3130	2158	3157	10913	4781	3761	5070	2013	1762	1113	393	11997	16860	3805
14525	16653	7840	7599	8104	3976	7515	3942	6906	11981	3447	7243	11130	6457	9494	11107	2021	6139	6544	4834	5178	3668	5800	15564	5875	4503	5991	2505	2940	2364	761	22002	26170	7055
6367	7851	3392	3753	3149	1413	3014	1610	1294	2474	666	4161	4877	2695	3295	3467	644	2098	2347	1790	2010	1488	2161	4521	2181	1376	2202	692	978	655	272	9714	12852	3093
7042	6156	2469	2623	3755	1618	3727	1936	779	1345	331	3061	4769	2908	4141	4411	834	2640	2797	2229	2382	1922	2608	4181	2790	1716	2817	796	1155	866	390	10192	13336	3174
6807	3703	1581	1732	3620	1325	3195	1850	560	1145	298	2431	4466	2589	3643	3921	758	2597	2802	2162	2342	1776	2298	3906	2690	1629	2676	809	1060	720	416	9568	12406	3277
2048	1239	452	543	1029	409	1055	630	84	297	102	768	1408	870	1118	1020	248	729	879	698	691	585	747	1200	851	437	864	282	330	157	163	2683	2701	1016
