C12-A_1	C12-A_2	C12-A_3	C12-AA_1	C12-AA_2	C12-AA_3	C12-AB_1	C12-AB_2	C12-AB_3	C12-AD_1	C12-AD_2	C12-AD_3	C12-AE-T_1	C12-AE-T_2	C12-AE-T_3	C12-E_1	C12-E_2	C12-E_3	C12-H-T1_1	C12-H-T1_2	C12-H-T1_3	C12-H-T2_1	C12-H-T2_2	C12-H-T2_3	C12-I_1	C12-I_2	C12-I_3	C12-J_1	C12-J_2	C12-J_3	C12-K_1	C12-K_2	C12-K_3	C12-L_1	C12-L_2	C12-L_3	C12-P-T1_1	C12-P-T1_2	C12-P-T1_3	C12-V_1	C12-V_2	C12-V_3	C12-W-L1_1	C12-W-L1_2	C12-W-L1_3	C12-C-L1_1	C12-C-L1_2	C12-C-L1_3	C12-Y-C1_1	C12-Y-C1_2	C12-Y-C1_3
0	0	0	8296	11640	11607	7548	9600	9372	8775	9323	13875	10273	16230	18216	8108	10606	9744	2562	3023	4664	1149	1147	2180	767	866	2438	11109	9472	11742	6839	5427	6284	6974	9582	11953	8492	6395	17965	3636	3008	4081	1962	3190	2937	1597	2257	1254	0	0	0
0	0	0	4418	5941	6183	0	0	0	6259	6306	9295	4859	9195	10756	8928	11111	11168	10428	12040	17891	5915	5236	8279	4258	4042	7299	9509	7777	8901	15697	12627	13323	5291	6388	7529	5862	4331	11823	14994	11321	15177	7955	11569	10751	6305	8654	4856	0	0	0
0	0	0	0	0	0	538	346	1228	0	0	0	0	0	0	1562	0	2534	0	0	0	2225	766	0	6203	2583	2172	0	0	0	0	0	0	929	655	0	1331	630	0	6621	2338	3045	2651	2326	3197	1824	1303	939	0	0	0
84	130	111	0	0	0	812	431	1540	0	0	0	0	0	0	0	0	0	0	0	0	2403	680	417	3321	1507	966	0	0	0	0	0	0	0	0	0	175	133	0	0	0	0	0	0	319	0	0	0	54	0	69
1223	1280	1981	125	107	216	215	191	402	179	180	234	166	264	355	147	132	163	284	297	201	1140	466	232	901	558	333	264	114	90	95	0	0	242	174	190	280	188	190	185	72	127	0	58	0	0	64	64	938	904	1059
2891	3131	4490	247	161	426	366	280	602	363	332	448	231	312	488	296	292	494	700	500	393	314	222	153	347	373	320	562	218	121	257	186	73	387	370	385	584	270	564	486	204	276	120	176	147	73	77	0	2176	2011	2458
4078	4427	6261	359	193	540	554	337	816	569	513	594	246	315	496	448	368	758	1027	676	578	616	347	245	696	533	444	897	388	184	393	194	123	615	570	545	971	460	746	678	251	403	156	217	229	102	107	50	3040	2581	3279
3346	3587	5568	291	133	435	455	162	606	517	420	451	157	221	257	380	253	596	970	524	386	516	289	190	601	329	288	818	292	160	397	158	81	594	475	414	863	424	529	630	210	300	157	157	223	72	62	64	2616	1939	2633
1494	1470	2697	93	53	194	98	85	226	198	129	150	75	93	128	125	88	267	489	156	127	215	69	50	298	166	115	339	112	50	173	0	0	297	198	169	349	151	142	345	118	141	89	85	129	66	0	0	1235	777	1227
